Date,Miles,Total,Average,Pace,Benchmark,Behind
6/15,0.00000,0.00,0.00,0.00,9.43,9.43
6/16,14.64790,14.65,7.32,776.34,18.87,4.22
6/17,0.00000,14.65,4.88,517.56,28.30,13.65
6/18,9.21752,23.87,5.97,632.43,37.74,13.87
6/19,0.00000,23.87,4.77,505.95,47.17,23.30
6/20,14.30254,38.17,6.36,674.30,56.60,18.44
6/21,24.03940,62.21,8.89,942.00,66.04,3.83
6/22,0.00000,62.21,7.78,824.25,75.47,13.26
6/23,0.00000,62.21,6.91,732.66,84.91,22.70
6/24,0.00000,62.21,6.22,659.40,94.34,32.13
6/25,0.00000,62.21,5.66,599.45,103.77,41.57
6/26,0.00000,62.21,5.18,549.50,113.21,51.00
6/27,0.00000,62.21,4.79,507.23,122.64,60.43
6/28,0.00000,62.21,4.44,471.00,132.08,69.87
6/29,0.00000,62.21,4.15,439.60,141.51,79.30
6/30,0.00000,62.21,3.89,412.12,150.94,88.74
7/1,19.00179,81.21,4.78,506.36,160.38,79.17
7/2,17.99195,99.20,5.51,584.18,169.81,70.61
7/3,19.78510,118.99,6.26,663.82,179.25,60.26
7/4,0.00000,118.99,5.95,630.63,188.68,69.69
7/5,12.24900,131.24,6.25,662.43,198.11,66.88
7/6,26.52840,157.76,7.17,760.13,207.55,49.78
7/7,29.45230,187.22,8.14,862.82,216.98,29.77
7/8,22.22050,209.44,8.73,925.01,226.42,16.98
7/9,0.00000,209.44,8.38,888.01,235.85,26.41
7/10,1.68930,211.13,8.12,860.74,245.28,34.16
7/11,16.39630,227.52,8.43,893.23,254.72,27.19
7/12,0.00000,227.52,8.13,861.33,264.15,36.63
7/13,14.50700,242.03,8.35,884.66,273.58,31.56
7/14,21.54920,263.58,8.79,931.31,283.02,19.44
7/15,15.02360,278.60,8.99,952.64,292.45,13.85
7/16,24.54046,303.14,9.47,"1,004.16",301.89,-1.26
7/17,11.45470,314.60,9.53,"1,010.52",311.32,-3.28
7/18,0.00000,314.60,9.25,980.80,320.75,6.16
7/19,0.00000,314.60,8.99,952.78,330.19,15.59
7/20,11.50490,326.10,9.06,960.19,339.62,13.52
7/21,15.94917,342.05,9.24,979.93,349.06,7.01
7/22,17.34930,359.40,9.46,"1,002.54",358.49,-0.91
7/23,10.67960,370.08,9.49,"1,005.86",367.92,-2.16
7/24,38.92440,409.00,10.23,"1,083.86",377.36,-31.65
7/25,10.01740,419.02,10.22,"1,083.32",386.79,-32.23
7/26,0.00000,419.02,9.98,"1,057.53",396.23,-22.80
7/27,0.00000,419.02,9.74,"1,032.94",405.66,-13.36
